card_number,gender,Name,Surname,Age,Birthday,City,card_num
178485,M,Мир,Петров,37,1986-08-07,Lida,425996497
178486,F,Зоя,Богданова,37,1986-10-31,Lida,435197120
178487,F,Нинель,Кабанова,45,1979-03-19,Orsha,431753304
178488,F,Ия,Новикова,47,1976-08-26,Orsha,435486406
178489,F,Лора,Ершова,45,1978-10-12,Orsha,447993555
178490,M,Любосмысл,Моисеев,55,1968-05-17,Orsha,453348785
178491,F,Елена,Нестерова,49,1974-11-14,Gomel,444930014
178492,M,Ипатий,Воронцов,38,1985-05-04,Mogilev,452414125
178493,F,Прасковья,Молчанова,54,1970-02-03,Brest,452427275
178494,M,Станимир,Устинов,43,1980-06-27,Lida,452031325
178495,M,Гордей,Рябов,49,1974-08-29,Mogilev,462300060
178496,M,Аристарх,Меркушев,36,1987-10-02,Brest,465119307
178497,M,Никифор,Воробьев,56,1967-12-17,Grodno,464238751
178498,M,Феоктист,Мартынов,52,1972-02-02,Minsk,475865560
178499,M,Иосиф,Одинцов,42,1981-04-21,Grodno,469955193
178500,M,Доброслав,Колобов,44,1979-10-04,Brest,479078986
178501,F,Ксения,Гаврилова,40,1983-09-18,Mogilev,474712464
178502,M,Пахом,Карпов,33,1991-01-16,Lida,483870907
178503,F,Глафира,Мишина,44,1979-11-16,Mogilev,487415105
178504,M,Лонгин,Соколов,41,1982-05-04,Brest,485786598
178505,M,Авдей,Лапин,47,1976-10-03,Orsha,505238331
178506,M,Ефрем,Воронцов,42,1981-06-26,Grodno,499199432
178507,M,Евстафий,Дроздов,46,1977-09-12,Minsk,512988563
178508,M,Никанор,Горшков,35,1988-05-22,Brest,521001681
178509,M,Федот,Дементьев,44,1979-10-24,Minsk,509707929
178510,M,Эмиль,Красильников,36,1987-10-23,Gomel,520042908
178511,M,Агафон,Ширяев,56,1967-12-05,Grodno,530743636
178512,F,Татьяна,Денисова,37,1986-11-03,Gomel,521119051
178513,M,Аристарх,Смирнов,36,1987-10-22,Orsha,546346192
178514,F,Анжелика,Виноградова,44,1979-11-02,Minsk,537671111
178515,M,Эммануил,Воробьев,46,1977-07-05,Minsk,548258841
178516,F,Вероника,Селезнева,48,1976-02-20,Orsha,553992748
178517,M,Корнил,Степанов,50,1973-12-21,Minsk,552296612
178518,F,Олимпиада,Ефимова,29,1994-09-17,Brest,555445828
178519,M,Евстафий,Сидоров,38,1986-02-06,Minsk,563756802
178520,F,Виктория,Козлова,47,1976-12-03,Grodno,555159635
178521,M,Елисей,Русаков,35,1988-11-02,Grodno,559547447
178522,M,Аскольд,Исаков,42,1981-09-17,Gomel,564182297
178523,F,Лидия,Трофимова,64,1959-11-01,Brest,576778132
178524,M,Валентин,Филиппов,55,1968-06-22,Grodno,575259191
178525,M,Макар,Чернов,42,1982-02-26,Minsk,583248152
178526,F,Маргарита,Константинова,50,1974-02-06,Minsk,587385372
178527,M,Гордей,Гусев,47,1976-05-14,Orsha,604319503
178528,M,Тимофей,Котов,37,1987-03-27,Grodno,600358265
178529,M,Елизар,Соловьев,32,1991-05-31,Lida,606651408
178530,M,Варлаам,Брагин,56,1967-11-18,Mogilev,606910374
178531,M,Лаврентий,Гусев,42,1981-11-26,Minsk,608732719
178532,M,Аскольд,Фокин,45,1979-03-30,Lida,614960445
178533,M,Глеб,Авдеев,50,1973-11-15,Gomel,618428092
178534,M,Емельян,Кабанов,47,1976-11-07,Minsk,618560282
178535,F,Зинаида,Сергеева,39,1984-05-14,Lida,627662360
178536,M,Григорий,Смирнов,36,1987-10-06,Lida,627689973
178537,M,Елисей,Мамонтов,49,1975-02-15,Brest,634302778
178538,M,Ростислав,Комаров,56,1967-06-02,Grodno,631647991
178539,F,Алла,Петрова,58,1966-03-08,Grodno,635495694
178540,M,Святослав,Суворов,46,1977-07-09,Minsk,637936398
178541,F,Нина,Колобова,49,1974-12-03,Brest,636316527
178542,F,Глафира,Бобылева,48,1975-12-31,Grodno,646036115
178543,M,Эмиль,Сергеев,40,1984-04-12,Minsk,646793558
178544,F,Василиса,Сазонова,48,1975-10-20,Mogilev,656336488
178545,M,Данила,Владимиров,52,1971-10-08,Gomel,664767320
178546,F,Надежда,Фадеева,43,1981-03-17,Orsha,665121517
178547,M,Кузьма,Михеев,47,1976-05-03,Mogilev,661600284
178548,M,Силантий,Волков,39,1984-09-10,Mogilev,674602723
178549,M,Каллистрат,Михайлов,51,1972-08-23,Minsk,669333779
178550,M,Гурий,Журавлев,43,1980-08-27,Grodno,681081440
178551,M,Аскольд,Прохоров,32,1992-02-27,Brest,675661932
178552,M,Прохор,Панов,48,1976-03-31,Gomel,671843351
178553,F,Евфросиния,Гурьева,46,1977-08-08,Lida,687964506
178554,M,Елизар,Никитин,59,1964-11-19,Lida,683784775
178555,F,Варвара,Лобанова,43,1980-11-23,Grodno,680510801
178556,F,Екатерина,Котова,48,1975-11-13,Gomel,684338209
178557,M,Михей,Кошелев,54,1970-02-20,Minsk,690597384
178558,M,Федор,Пестов,43,1980-12-26,Gomel,688191703
178559,M,Конон,Смирнов,45,1978-09-22,Brest,701886545
178560,M,Прохор,Козлов,53,1970-12-22,Orsha,692507038
178561,M,Сигизмунд,Дорофеев,43,1981-03-19,Brest,698616574
178562,M,Никон,Назаров,48,1976-04-11,Brest,698345646
178563,F,Зинаида,Фомичева,48,1975-09-28,Brest,701978193
178564,M,Устин,Абрамов,46,1977-08-26,Minsk,712173636
178565,M,Любим,Карпов,47,1976-05-06,Grodno,711532592
178566,M,Эмиль,Чернов,52,1972-03-22,Lida,710591946
178567,M,Измаил,Рожков,45,1978-06-10,Gomel,715143214
178568,M,Елизар,Моисеев,52,1971-09-20,Gomel,717364776
178569,F,Ксения,Козлова,35,1988-10-16,Brest,725993764
178570,M,Ермил,Новиков,36,1987-07-06,Brest,716303959
178571,M,Дорофей,Игнатьев,48,1975-11-03,Lida,725341329
178572,M,Изот,Орлов,50,1973-10-02,Orsha,726002013
178573,M,Ким,Никонов,40,1983-07-07,Orsha,738944267
178574,F,Оксана,Шестакова,37,1986-07-08,Minsk,731176529
178575,M,Фрол,Александров,45,1978-09-10,Lida,731282392
178576,M,Гостомысл,Зыков,48,1975-08-08,Mogilev,739866675
178577,F,Лариса,Анисимова,42,1982-02-21,Gomel,746676232
178578,F,Таисия,Гущина,50,1973-10-12,Lida,743007557
178579,F,Полина,Журавлева,41,1982-12-28,Lida,749553834
178580,M,Гремислав,Гуляев,49,1975-02-26,Orsha,750761310
178581,F,Лора,Семенова,33,1990-06-12,Minsk,755258633
178582,F,Марфа,Власова,46,1978-03-23,Brest,762139479
178583,F,Кира,Зиновьева,53,1970-08-09,Orsha,765487784
178584,F,Елизавета,Мясникова,35,1988-05-18,Lida,768534921
178585,M,Парамон,Гуляев,47,1976-11-12,Gomel,768562435
178586,F,Алла,Баранова,44,1979-06-16,Gomel,758149599
178587,M,Артемий,Горшков,34,1989-08-19,Grodno,760232284
178588,F,Нина,Орлова,41,1982-11-02,Mogilev,761189798
178589,F,Нинель,Калинина,42,1982-01-02,Grodno,766130029
178590,M,Иосиф,Костин,28,1996-04-13,Grodno,777761655
178591,M,Азарий,Петров,44,1979-11-27,Grodno,767649540
178592,M,Всеволод,Кузнецов,40,1984-03-16,Gomel,768580544
178593,M,Всеволод,Тарасов,42,1982-01-31,Gomel,783256617
178594,M,Творимир,Кузьмин,49,1974-11-22,Mogilev,777716675
178595,M,Исай,Петухов,38,1985-06-17,Orsha,786213599
178596,F,Антонина,Лаврентьева,55,1968-12-24,Brest,779970569
178597,M,Потап,Мишин,53,1971-01-15,Lida,788090284
178598,F,Ульяна,Аксенова,34,1989-05-06,Minsk,784723029
178599,F,Юлия,Быкова,47,1976-10-15,Lida,786867850
178600,F,Эмилия,Цветкова,39,1984-10-20,Orsha,788064701
178601,M,Аникей,Лобанов,48,1975-12-22,Grodno,789100787
178602,M,Адам,Сысоев,57,1967-01-24,Orsha,790570364
178603,M,Аполлон,Михайлов,41,1982-05-21,Gomel,792416483
178604,F,Анна,Осипова,42,1981-12-30,Lida,810222293
178605,M,Елизар,Соколов,61,1962-12-26,Orsha,805081110
178606,F,Алла,Кулагина,53,1971-04-10,Orsha,806001133
178607,M,Никита,Калашников,49,1975-01-29,Minsk,810452520
178608,M,Капитон,Дьячков,46,1978-02-01,Gomel,821775602
178609,M,Савватий,Семенов,48,1976-02-23,Gomel,823264241
178610,M,Авксентий,Горбачев,46,1977-10-27,Brest,816355303
178611,M,Ипатий,Зимин,40,1983-05-26,Gomel,812270225
178612,M,Владимир,Журавлев,53,1971-03-11,Lida,816613206
178613,F,Евдокия,Владимирова,49,1975-02-28,Grodno,817690526
178614,F,Клавдия,Муравьева,46,1978-03-29,Brest,822379867
178615,M,Гаврила,Дементьев,40,1983-06-27,Mogilev,835293451
178616,M,Анатолий,Меркушев,45,1978-12-26,Grodno,835551734
178617,F,Евгения,Белозерова,47,1976-11-01,Gomel,825813367
178618,F,Элеонора,Кудрявцева,51,1972-05-03,Gomel,832195378
178619,M,Мартын,Сазонов,32,1991-10-24,Minsk,833197019
178620,F,Ираида,Кулагина,47,1976-09-01,Brest,842967717
178621,M,Ратибор,Дмитриев,44,1979-12-17,Minsk,848344002
178622,F,Нинель,Жукова,45,1978-05-14,Brest,846495840
178623,F,Регина,Устинова,41,1983-04-15,Minsk,849866367
178624,M,Аверьян,Кулагин,53,1971-04-15,Grodno,848178921
178625,M,Милен,Логинов,67,1957-01-11,Brest,849876424
178626,M,Самуил,Чернов,37,1987-02-01,Orsha,857412815
178627,M,Натан,Исаков,50,1973-12-25,Mogilev,860964250
178628,M,Валентин,Новиков,38,1986-01-22,Mogilev,866052289
178629,F,Евдокия,Дорофеева,38,1985-08-12,Mogilev,864685007
178630,M,Эрнест,Капустин,37,1987-02-03,Grodno,868528203
178631,F,Иванна,Андреева,54,1970-04-17,Brest,873483329
178632,M,Соломон,Коновалов,44,1980-02-06,Grodno,884069315
178633,M,Эммануил,Блинов,45,1978-11-02,Minsk,884423496
178634,M,Валентин,Соколов,42,1982-01-04,Lida,878598139
178635,M,Ладислав,Панов,52,1971-07-07,Brest,882128386
178636,F,Анжелика,Моисеева,43,1980-07-12,Gomel,893346514
178637,F,Евпраксия,Субботина,38,1986-04-14,Minsk,895891806
178638,M,Ладислав,Титов,33,1990-09-18,Lida,886287246
178639,M,Софон,Тарасов,43,1980-08-30,Brest,892789896
178640,M,Варлаам,Сысоев,36,1988-01-16,Minsk,906309527
178641,F,Антонина,Стрелкова,44,1979-05-11,Brest,898338011
178642,M,Эммануил,Григорьев,39,1985-01-04,Minsk,902001029
178643,M,Сергей,Евдокимов,49,1974-07-07,Gomel,903684037
178644,M,Мечислав,Костин,42,1981-05-12,Mogilev,901901460
178645,M,Владимир,Воробьев,44,1980-02-08,Minsk,914896125
178646,F,Тамара,Савина,40,1983-08-23,Orsha,921923144
178647,M,Павел,Новиков,35,1989-04-05,Minsk,915951515
178648,F,Наталья,Ефимова,57,1966-08-14,Minsk,927227227
178649,M,Наркис,Максимов,51,1972-12-05,Brest,927423917
178650,F,Акулина,Дементьева,49,1974-04-24,Lida,929301592
178651,M,Петр,Бобылев,46,1977-07-18,Grodno,931592509
178652,M,Мина,Захаров,21,2002-07-07,Gomel,932144052
178653,M,Наум,Воронцов,50,1973-09-30,Brest,942366208
178654,F,Марфа,Гуляева,59,1964-07-01,Gomel,935588214
178655,M,Рубен,Быков,43,1980-08-24,Orsha,943528038
178656,M,Трифон,Шестаков,48,1975-11-03,Orsha,946456641
178657,M,Всеслав,Ефремов,47,1976-06-01,Minsk,937066573
178658,M,Исай,Стрелков,43,1980-10-19,Orsha,951182454
178659,F,Фаина,Ермакова,41,1983-03-19,Gomel,943215701
178660,M,Ермолай,Антонов,46,1977-07-03,Grodno,945863219
178661,M,Ермолай,Субботин,28,1995-05-05,Lida,957301540
178662,F,Агафья,Федотова,43,1981-02-07,Gomel,949041234
178663,M,Мина,Абрамов,37,1986-04-20,Orsha,945273674
178664,F,Екатерина,Евсеева,49,1975-03-15,Minsk,951272669
178665,M,Юлий,Шашков,46,1977-05-04,Grodno,956338515
178666,F,Лора,Хохлова,39,1984-11-14,Orsha,964571016
178667,M,Тимофей,Зуев,37,1986-08-31,Mogilev,963804196
178668,M,Селиверст,Третьяков,39,1985-02-10,Brest,960219883
178669,F,Зоя,Куликова,40,1983-08-20,Lida,965546223
178670,M,Аполлинарий,Тимофеев,44,1980-02-04,Gomel,968495006
178671,F,Милица,Терентьева,40,1983-06-24,Brest,976810691
178672,M,Пантелеймон,Кабанов,36,1987-06-24,Mogilev,985690399
178673,M,Нифонт,Панов,50,1973-05-15,Mogilev,999510526
178674,M,Якуб,Воронов,45,1978-05-11,Grodno,993131725
178675,F,Ия,Носова,40,1983-04-21,Gomel,987012386
178676,M,Ярослав,Сафонов,43,1980-05-23,Orsha,994889620
178677,M,Владилен,Воробьев,47,1976-05-21,Gomel,997414450
178678,M,Спартак,Савин,52,1972-03-28,Orsha,24459
178679,M,Виктор,Михайлов,51,1972-04-20,Orsha,59588
178680,F,Анжела,Ефремова,45,1979-01-14,Brest,82234
178681,M,Артемий,Носков,46,1977-10-04,Brest,85666
178682,F,Синклитикия,Новикова,48,1976-04-01,Lida,92506
178683,M,Бронислав,Рябов,42,1981-09-11,Gomel,98586
178684,F,Наталья,Пестова,40,1983-06-04,Minsk,101218
178685,M,Никон,Фомичев,32,1991-08-27,Brest,89627
178686,M,Викентий,Денисов,44,1979-09-15,Brest,96143
178687,M,Мирослав,Назаров,50,1974-01-11,Lida,130785
178688,M,Эммануил,Колесников,50,1974-03-21,Minsk,161574
178689,M,Ладимир,Воробьев,35,1988-11-26,Minsk,161608
178690,F,Валерия,Афанасьева,40,1983-04-23,Gomel,169122
178691,M,Рюрик,Капустин,48,1975-11-13,Mogilev,169569
178692,M,Всемил,Михайлов,48,1975-06-30,Brest,215545
178693,M,Трифон,Лихачев,48,1975-08-15,Minsk,215190
178694,F,Ольга,Авдеева,50,1973-08-28,Mogilev,215255
178695,M,Парфен,Рябов,47,1977-02-25,Mogilev,215263
178696,M,Каллистрат,Шарапов,55,1968-09-11,Minsk,215339
178697,M,Юлиан,Вишняков,37,1986-06-29,Brest,222475
178698,M,Мефодий,Корнилов,40,1983-09-06,Mogilev,230999
178699,M,Евлампий,Виноградов,40,1984-03-02,Grodno,234157
178700,M,Галактион,Мухин,39,1984-11-21,Orsha,246235
178701,M,Руслан,Устинов,46,1977-12-06,Grodno,263503
178702,M,Эраст,Евдокимов,57,1966-10-23,Mogilev,265466
178703,M,Александр,Шубин,42,1982-02-10,Mogilev,266027
178704,M,Устин,Павлов,45,1978-11-16,Minsk,298574
178705,M,Азарий,Новиков,56,1968-01-01,Orsha,312243
178706,M,Авдей,Кулагин,53,1971-03-06,Brest,314702
178707,M,Давыд,Муравьев,51,1973-03-22,Gomel,314637
178708,F,Марина,Тихонова,56,1967-11-14,Brest,323935
178709,M,Всемил,Филиппов,34,1989-04-29,Minsk,323562
178710,F,Раиса,Лапина,44,1979-04-27,Gomel,359616
178711,F,Виктория,Григорьева,51,1972-08-29,Orsha,362305
178712,F,Светлана,Николаева,44,1979-11-09,Orsha,362156
178713,F,София,Андреева,39,1984-05-17,Gomel,375026
178714,M,Афиноген,Коновалов,36,1987-06-05,Brest,358709
178715,F,Синклитикия,Костина,52,1972-02-05,Brest,370399
178716,M,Анатолий,Ермаков,54,1969-08-27,Grodno,372189
178717,F,Ираида,Самойлова,43,1980-06-12,Gomel,364053
178718,M,Никандр,Мамонтов,36,1988-02-27,Orsha,415624
